식물 이름,사진,학명,설명,물주기,빛,습도,잘 자라는 온도,"겨울철 관리 온도
",특징 색상,식물 유형,가시 유무,잎 모양1,잎 모양2,잎 모양3,잎 모양4,식물경험,"반려식물
안전성",유통 크기,난이도,유통가격,,,,,,,
소코라코 (브레이니아 니보사),그림,Breynia nivosa 'Sokorako',"국내에서 '비단노을' 이라고도 불리는 소코라코는 흰색과 분홍색의 무늬를 가지고 있어요. 외형적으로 비슷한 브레이니아랑 친척 사이에요. 둘의 차이점은 빛을 받으면 변하는 잎색에 따라 구분 할 수 있어요. 브레이니아는 흰색과 초록색 색감이고 소코라코는 새순에서 붉은 분홍색이 감돌아요. 2011년에 일본에서 품종명을 새로 등제하여 소코라코로 유통되고 있어요. 소코라코의 분홍색 잎은 새 잎에서 잘 발현되어요. 식물이 성장할수록 잎 색이 녹색으로 변할 수 있어 아름다운 새 순을 많이 보기 위해서는 적절하게 가지치기를 해주시는 게 좋아요. 소코라코는 한 번 걸러진 밝은 빛을 좋아해요. 빛이 부족하면 아름다운 무늬가 녹색으로 단조로워질 수 있답니다. 소코라코는 추위에 약하고 환경변화를 싫어하기 때문에 잦은 이동은 해로울 수 있고, 촉촉한 환경을 좋아해요","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,18~25℃,10℃ 이상,녹색잎에 흰새과 분홍무늬,잎을 감상하는,,둥근모양,무늬가 있는,,,,,소형,상,1만원~1만5천원,,,,,,,
오렌지 자스민,그림,Murraya paniculata,"오렌지 자스민은 나팔같은 하얀 꽃에서 나는 향이 자스민 꽃 향을 닮았고, 그 열매가 오렌지의 모양을 닮았다고 붙여진 이름입니다. 실제로 자스민과는 다른 종류 운향과에 속하는 식물로, 서아시아, 북 오스트레일리아, 뉴칼레도니아가 원산인 작은 나무 식물이랍니다. 연중 따뜻한 기온을 유지하는 곳에서 온 오렌지 자스민은 추위에 약하고 촉촉한 습도를 좋아하고, 한 번 걸러진 밝은 빛을 오래 받을 수 있으면 일년 내내 꽃이 피는 식물이에요. 오렌지 자스민 꽃의 수명은 짧지만 계속해서 새 꽃을 감상할 수 있어 인기가 많은 식물이랍니다. 꽃이 지면 꽃의 암술이 있던 자리에 열매가 생기고, 열매가 익으면 열매 속의 씨앗으로 새로운 오렌지 자스민 새싹을 볼 수 있지만, 꽃을 계속 감상하고 싶으시다면 열매가 맺히기 전에 암술을 따주어야 에너지 소모가 줄어 아름다운 꽃을 더 많이 내어준답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,15~25℃,10℃ 이상,녹색잎에 하얀 꽃을 피움,꽃을 감상하는,,둥근모양,잎 끝이 뾰족한,잎이 빳빳한,,,,"소, 중형",중,"소: 4천원~6천원
중: 2만원~5만원",,,,,,,
청페페,그림,Peperomia obtusifuolia,"동글동글한 두꺼운 잎이 사랑스러운 청페페는 페페로미아속의 대표 식물이에요. 둥글고 넓고 동그란 잎이 빽빽하게 어긋나 풍성한 느낌을 줘요. 도톰한 잎에 수분을 저장할 수 있어 물을 많이 필요로 하지 않고, 빛이 적은 곳에서도 잘 자라요. 따뜻한 중앙아메리카, 남아메리카의 숲에서 온 페페들은 추위만 피해주시면 키우기 어렵지 않은 순둥이 식물이랍니다. 청페페는 독성이 없어 반려동물과 어린아이가 있는 집에서도 안심하고 키울 수 있어요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,18~27℃,13℃ 이상,녹색,잎을 감상하는,,둥근모양,잎이 두꺼운,잎이 빳빳한,,초보자,안전,소형,하,3천원~5천원,,,,,,,
칼라디움,그림,Caladium spp.,"칼라디움은 여름을 대표하는 관엽식물이에요. 잎만으로도 꽃보다 아름다운 미모를 뽐내는 칼라디움은 전 세계 2,000종 이상의 다양한 품종이 있어요. 하트 모양의 크기가 다양한 잎과 크고 화려한 무늬를 가지고 있답니다. 남아메리카에서 온 칼라디움은 따뜻한 온도와 촉촉한 습도를 아주 좋아하는 식물입니다. 빛이 적은 곳에서도 잘 자라지만 아름다운 무늬와 잎의 성장을 위해서는 한 번 걸러진 밝은 빛이 오래 머무는 공간이 적합해요. 칼라디움은 알뿌리식물로, 밤온도가 20℃ 이하로 떨어지면 겨울잠을 잘 준비를 해요. 겨울잠을 위해 새 순 내는 속도가 느려지고 줄기에 힘이 없어지며 잎이 마르기 시작한답니다. 잎이 시들기 시작하면 줄기를 모두 잘라주시고, 뿌리(구근)을 캐서 모래나 톱밥에 묻어 약 15~20℃의 온도를 유지하며 겨울잠을 재워주셔야 한답니다. 완연한 봄이 오면(4월) 보관했던 구근을 다시 심어주시고 따뜻한 햇살을 맞게 해주시면 새 순이 쏙 나온답니다. 키우던 화분 그대로 겨울을 나도 이듬해 봄이 오면 새싹을 내어주는 기특한 식물이랍니다. 겨울잠을 재우지 않고 계속 키워주셔도 되지만, 더 풍성한 잎과 예쁜 무늬를 위해서는 겨울잠을 재워주는 게 좋아요.

평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,70% 이상,21~25℃,20℃ 이상,다양한 색 ,잎을 감상하는,,하트모양,무늬가 있는,잎 끝이 뾰족한,,,,"소, 중형",상,"소: 5천원~1만원
중: 2만원~2만5천원",,,,,,,
카네이션,그림,Dianthus caryophyllus,"카네이션은 전세계에서 가장 많이 재배되는 꽃 중 하나이고, 카네이션이 부모님에 대한 감사와 존중의 의미로 선물되기 시작된 지는 100년이 훌쩍 넘었답니다. 색깔도 다양하고 향기가 강한 품종 등 아주 많은 품종이 유통되는 카네이션은 추위에도 잘 견디고, 생육환경만 잘 맞춰주신다면 한해 내내 꽃이 피었다 졌다 하는 식물입니다. 빛을 매우 좋아하고 흙이 바싹 마르지 않게 관리해주시면 건강하게 키울 수 있어요. 꽃을 피우기 위해서는 흙 속에 양분이 풍부해야 하며, 적당한 저온을 받고 겨울을 나야 이듬해에 더 아름다운 꽃을 피운답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,15~21℃,10℃ 이상,초록잎에 다양한 색상의 꽃,꽃을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,,소형,중,5천원~8천원,,,,,,,
유칼립투스 구니,그림,Eucalyptus gunnii,"예쁜 수형과 청량한 향기를 내뿜는 유칼립투스 구니는 함께 하면 항균, 비염, 아토피에 도움을 주는 식물이랍니다. 은빛이 도는 동그란 잎사귀가 아름다운 유칼립투스 구니는 'Cider Gum'이라고도 불리고, 절화장식에서 그린소재로 많이 활용되고 있어요. 빛이 많고 바람이 잘 부는 자연에 가까운 환경을 좋아하는 유칼립투스는 제한된 실내 환경에서 키우기 위해 물, 빛, 통풍에 대한 섬세한 관심이 필요해요. 좋아하는 환경만 갖춰준다면 하루가 다르게 자라나는 즐거움을 주는 식물이랍니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,18~25℃,10℃ 이상,은빛이 도는 초록,잎을 감상하는,,둥근모양,잎이 두꺼운,잎이 빳빳한,,,,"소, 중형",상,"소: 3천원~1만원
중: 1만5천원~3만원",,,,,,,
만세 선인장,그림,Consolea rubescens,만세선인장은 가시가 거의 없는 선인장이에요. 납작하고 울퉁불퉁한 모양이 꼭 타이어가 밟고 지나간 것 같아서 서양에서는 '로드킬 선인장' 이라고 불린답니다. 우리나라에서는 두팔을 벌려서 '만세!' 를 부르는 것 같아서 만세선인장이라고 불리우고 있어요. 키우기 까다롭지 않고 가시가 없어 안전해 초보 가드너들도 부담 없이 키울 수 있는 식물이에요.,"평균 월 1회 이하
선인장 끝이 조금 쪼글쪼글해지면 주세요",양지,40% 이하,18~28℃,10℃ 이상,짙은 녹색의 기둥,다육/선인장,X,,,,,초보자,,"소,중,대형",하,"소: 6천원~1만원
중: 3만원~5만원
대: 6만원~10만원",,,,,,,
녹탑,그림,Crassula muscosa,녹탑은 그 모양이 마치 시계줄 같이 생겨서 'Watch Chain'이라고 불리우는 다육식물이에요. 돌나물과에 속하기 때문에 야외에서 강한 빛을 받고 자라면 꽃이 피기도 한답니다. 녹탑은 키가 작고 아담해서 테라리움을 장식할 때도 많이 사용돼요. 키우기도 어렵지 않아 초보 가드너들에게 추천하는 식물이랍니다.,"평균 월 1~2회
화분 속 흙이 바싹 마르면 듬뿍 주세요",양지,40~70%,15~25℃,5℃ 이상,녹색,다육/선인장,X,잎 끝이 뾰족한,잎이 두꺼운,,,초보자,,소형,하,2천원~3천원,,,,,,,
무늬 라벤더 (황금 라벤더),그림,Lavandula allardii 'Meerlo',무늬 라벤더는 아름다운 황금빛의 무늬가 있는 잎을 가지고 있어요. 다른 종류의 라벤더보다 향기가 매우 진한 게 특징이에요. 라벤더의 향기는 불면증을 낫게 하고 심신을 안정시키는 데 탁월해요. 라벤더는 지중해가 원산지여서 햇빛이 잘 들고 바람이 잘 통하는 곳을 좋아하고 과습에 약해요.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,15~23℃,-10℃ 이상,초록에 황금빛 무늬,잎을 감상하는,,길쭉한,무늬가 있는,잎이 두꺼운,,,,중형,중,2만5천원~4만원,,,,,,,
스위트 바질,그림,Ocimum Basilicum,"바질은 그리스어로 왕을 의미하는 바실레우스에서 이름을 따서 허브의 왕이라 불러요. 레몬 바질, 타이 바질, 홀리 바질 등 종류가 다양한데, 흔히 키우는 바질은 스위트 바질이에요. 바질은 빛, 바람, 물을 좋아해서 실내에서 키울 때는 빛과 통풍에 신경 써줘야 해요. 먹기 위해 키운다면 잎 8개째마다 나오는 새순들은 매번 잘라주셔야 풍성한 바질을 만날 수 있답니다. 이러한 조건들을 잘 맞춰준다면 신선한 바질을 매일 식탁에서 만날 수 있을 거에요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,18~24℃,12℃ 이상,초록,잎을 감상하는,,둥근모양,잎 끝이 뾰족한,,,,안전,소형,중,2천원~5천원,,,,,,,
바질트리,그림,Ocimum basilicum var. minimum,"바질트리는 스위트바질과 그리스 바질을 접목하여 만들어진 식물이에요. 보통 바질은 일년만 살고 겨울에 죽는 일년생 초화류인데, 바질트리는 바질을 여러 해 볼 수 있도록 개량된 품종입니다. 바질트리는 15cm정도의 높이로 자라고 스위트바질보다 잎이 더 작고 향이 더 진해요. 계속해서 바질트리의 순을 잘라주어야 더 튼튼하고 향기로운 바질트리 잎을 만날 수 있답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,15~25℃,12℃ 이상,초록,잎을 감상하는,,둥근모양,잎 끝이 뾰족한,,,,안전,소형,중,1만원~2만원,,,,,,,
페페로미아 에덴로소,그림,Peperomia carperata rossa,에덴로소는 세로 줄 무늬의 잎이 매력적인 페페로미아의 한 종류입니다. 잎 뒷면이 은은한 와인색을 띄고 있어 인기가 많은 식물이에요. 통통한 잎을 가진 에덴로소는 잎에 수분을 저장할 수 있는 능력을 가지고 있어서 물을 자주 주지 않아도 되고 따뜻한 곳을 좋아해요. 잎의 성장이 아주 빠른 편이지만 빛이 너무 적으면 생장이 느려질 수 있어요. 에덴로소는 반려동물에게 안전한 식물이기때문에 반려동물을 키우시는 초보 가드너 분들에게 추천드리는 식물입니다.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,18~26℃,15℃ 이상,진녹색에 무늬가 있는,잎을 감상하는,,둥근모양,무늬가 있는,잎 끝이 뾰족한,잎이 두꺼운,초보자,안전,소형,하,4천원~7천원,,,,,,,
필로덴드론 파라이소 베르디,그림,Philodendron 'Paraiso Verde’,"필로덴드론 파라이소 베르디는 길쭉한 하트모양의 반질반질한 잎에 자잘한 무늬가 마치 반짝이를 뿌려놓은 것 같은 느낌을 주는 식물이에요. 흙 위로 공중 뿌리가 자라나며 줄기를 지지하기도 하며, 수태봉으로 지지해주면 잎이 더 힘있고 크게 성장한답니다. 파라이소 베르디는 더운 인도에서 온 식물로, 열대우림같은 환경에서 가장 잘 자라요. 주변 공기를 따뜻하게, 그리고 촉촉하게 관리해주시면 건강하게 잘 키울 수 있어요. 필로덴드론의 종류답게 공기 중의 포름알데히드와 일산화탄소를 제거하는 능력이 뛰어나 실내 공기정화 식물로의 역할도 수행한답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,70% 이상,17~29℃,15℃ 이상,연두잎에 초록의 무늬가 있는,잎을 감상하는,,둥근모양,하트모양,길쭉한,무늬가 있는,,,소형,중,소: 1만원~2만원,,,,,,,
코르딜리네 초콜렛 퀸,그림,Cordyline terminalis 'Chocolate Queen',"코르딜리네 초콜렛 퀸은 길쭉하고 얇은 잎에 초콜렛 색의 무늬가 정말 아름다운 식물이에요. 새 순은 마치 초콜렛맛이 나는 막대과자를 보는 것 같은 느낌을 준답니다. 대서양의 섬에서 온 코르딜리네는 밝은 햇살과 높은 습도를 좋아한답니다. 코르딜리네는 오래된 아랫잎이 낙엽이 지며 새 순을 내어준답니다. 하엽이 진 자리는 단단한 목대로 변하며 키를 키워내요. 성장속도가 빠른편에 속해 봄~여름철에는 새 잎을 관찰하는 재미가 있는 식물이지만 백합과에 속하기 때문에 반려동물이 섭취하지 않도록 주의가 필요합니다. 또한 수돗물의 염소, 불소성분에 예민해 하루정도 수돗물을 받아둔 후에 물을 주는 게 좋아요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,21~25℃,13℃ 이상,진녹색에 초롤렛색 무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,주의 필요,소형,중,8천원~1만5천원,,,,,,,
디펜바키아 실버다이아,그림,Dieffenbachia maculata 'Tropical Tiki',"디펜바키아 실버다이아는 달걀모양의 진한 녹색 잎에 흰색과 에메랄드 색 무늬가 아름다운 무늬종 디펜바키아에요. 신품종이라 희귀해 희소성이 높은 아이랍니다. 디펜바키아는 성장이 빠른 편에 속하고 빛이 적은 곳에서도 잘 자라 실내 환경에 잘 적응해요. 남아메리카, 카리브해가 원산인 디펜바키아는 따뜻한 온도를 좋아하고 촉촉한 습도를 좋아해요. 주변 공기가 너무 건조해지지 않도록 관리해주시고, 직접적인 강한 빛은 피해 놓아주시면 누구나 쉽게 키울 수 있답니다. 디펜바키아는 독성이 강해 섭취하면 혀와 성대가 마비될 수 있고, 수액에 피부가 닿으면 알러지 반응과 가려움증을 유발하므로 아이가 있는 집이나 반려동물이 있는 집에는 주의해서 키워야 해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,13℃ 이상,진녹색 잎에 하얀 무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,주의 필요,소형,하,6천원~1만원,,,,,,,
구즈마니아,그림,Guzmania spp.,"구즈마니아는 파인애플과의 식물로 화려한 색감을 가진 중앙의 화포(꽃을 감싸고 있는 잎이 변하여 생긴 기관)가 매력적인 식물입니다. 가죽 같은 질감을 가진 반질반질한 잎과 화려한 색감의 화포가 트로피컬한 느낌을 잘 살려주고, 빛이 적은 곳에서도 잘 자라 실내 인테리어 식물로도 꾸준한 사랑을 받고 있답니다. 구즈마니아는 중앙아메리카의 우림지역에서 왔어요. 원산지에서는 뿌리를 땅 깊이 내리고 식물체를 지지하기보다는 나무나 이끼 등에 붙어서 자라는 착생의 형태로 자라난답니다. 따라서 물을 줄 때도 식물이 심어진 흙에 물을 주기보다는 잎이 난 중심부에 있는 물구멍(물통, 물받이)으로 물을 고이게 해주면 식물체가 천천히 수분을 흡수하는 특이한 식물이기도 해요. 실내에서는 통풍이 잘 안되어 물이 고인 곳이 썩을 수 있어 물을 준 후에는 공기가 잘 순환될 수 있도록 해주는 게 중요하답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,13℃ 이상,초록색잎에 화려한 꽃이 핌,꽃을 감상하는,,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,잎이 빳빳한,,안전,소형,중,8천원~1만2천원,,,,,,,
아스파라거스 메이리,그림,Asparagus densiflorus 'Myers',"아스파라거스 메이리는 복실복실 토실토실한 여우 꼬리를 닮은 식물이에요. 보기만해도 귀엽고 사랑스러운 분위기를 자아내어 인기있는 실내 인테리어 식물이랍니다. 아스파라거스 메이리는 한 번 걸러진 은은한 밝은 빛을 좋아하고 촉촉한 습도를 좋아해요. 건강한 아스파라거스 메이리의 뿌리의 끝은 수분을 저장할 수 있도록 알뿌리처럼 부껍게 발달하여 물을 과하게 주지 않도록 주의해야 합니다. 여름철에는 메이리의 잎 중간중간에 작은 팝콘같은 흰 꽃을 피운답니다. 아스파라거스 메이리는 식용 아스파라거스와 다른 식물이니, 절대 섭취하시면 안 돼요. 백합과에 속하므로 반려동물이 섭취하지 않도록 주의가 필요해요.","평균 주 1~2회
화분 속 흙이 대부분 마르면, 듬뿍 주세요",반음지,40~70%,15~25℃,10℃ 이상,밝은초록,잎을 감상하는,,바늘모양,길쭉한,갈라진,잎 끝이 뾰족한,초보자,주의 필요,"소, 중형",하,"소: 5천원
중: 2만5천원~3만원",,,,,,,
녹비단,그림,Portulaca molokiniensis,"녹비단은 녹색의 장미꽃이 핀 것 같이 아름다운 잎이 특징인 쇠비름과의 다육식물입니다. 그 모습이 마치 나비같아서 '나비'라고도 유통되어요. 오밀조밀 모여있는 잎이 재물을 불러온다하여 선물용으로 인기가 많은 식물입니다. 또한 녹비단은 여름철에 노란색의 꽃을 피우는데, 그 꽃을 보면 '돈벼락을 맞는다!'라는 속설이 있다고 해요. 녹비단은 자라면서 아랫잎을 떨어뜨리며, 잎이 떨어진 줄기는 단단하게 목질화되어 마치 작은 나무같은 모양으로 보이기도 한답니다. 통통한 잎에 수분을 많이 머금고 있어 건조에 잘 견디지만, 다른 다육식물에 비해 잎이 얇아 수분 요구도는 높은 편에 속해요. 하지만 그만큼 과습의 피해를 입기도 쉬워 물주기에 주의를 기울여야 하는 다육식물이랍니다. 밝은 빛을 오랫동안 받아야 잎과 잎 사이가 빽빽해 아름다운 수형으로 자라나요. 하지만 너무 강한 직접적인 빛을 받으면 잎 끝이 타들어갈 수 있어 간접광이 오랫동안 머무는 곳에 두는 게 좋아요. 식물체내에는 독성이 있어 반려동물이나 어린 아이가 섭취하지 않도록 주의해주세요.","평균 월 1~2회
통통한 잎이 살짝 쭈글해지면 듬뿍 주세요",양지,40~70%,16~27℃,15℃ 이상,녹색,다육/선인장,X,둥근모양,잎이 두꺼운,,,,주의 필요,소형,중,4천원~6천원,,,,,,,
싱고니움 매직 마블,그림,Syngonium podophyllym 'Magic Marble',"싱고니움 매직 마블은 진한 녹색의 화살촉모양의 잎에 흰색 물감이 번진 듯 아름다운 무늬를 가진 무늬종 싱고니움입니다. 흰색부터 민트색, 진한 녹색까지 다양한 색감을 감상할 수 있답니다. 잎 끝이 갈색으로 타들어가 아름다운 에메랄드 빛의 잎이 상할 수 있으므로 직접적인 강한 빛은 피해 놓아주시고, 주변 공기를 촉촉하게 유지해 주면 건강하게 새 잎을 내어준다고해요. 빛이 드는 방향으로 줄기가 굽어져 자랄 수 있으니 식물 전체에 빛을 골고루 받을 수 있게 주기적으로 화분을 돌리면서 키워주세요. 잎을 자르면 나오는 수액에 독성이 있으니 아이가 있는 집이나 반려동물이 있는 집에는 주의해서 키워야 해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,15℃ 이상,진녹색 잎에 하얀 무늬,잎을 감상하는,,하트모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,,주의 필요,소형,중,1만원~1만5천원,,,,,,,
무늬 싱고니움 (싱고니움 알보 바리에가타),그림,Syngonium podophyllum albo variegata 'White Fantasy',"무늬 싱고니움은 뾰족한 화살촉모양의 잎에 흰색 무늬가 발현되는 무늬종 싱고니움입니다. 잎마다 흰 지분이 다른 비율로 나오고, 그 무늬도 다 다르기 때문에 새 잎을 관찰하는 재미가 있는 식물이에요. 무늬 싱고니움은 줄기가 다른 싱고니움에 비해 길고 더 얇게 뻗으며, 공중뿌리도 잘 내어주기때문에 줄기를 지탱할 수 있는 지지대를 해 주시면 잎이 더 건강하게 잘 발달할 수 있어요. 또한 빛이 아주 적은 곳에서도 잘 견디는 일반 싱고니움과 달리 '알보 바리에가타' 답게 무늬 싱고니움은 더 밝은 빛을 오래 받을 수 있는 곳에 두어야해요. 흰 지분이 많을수록 광합성을 잘 할 수 없기 때문이랍니다. 전체 잎이 다 흰색으로 발현되는 '고스트 잎'의 경우에는 환경에 더 예민하기때문에 습도 관리가 중요해 주변 공기가 너무 건조해지지 않도록 관리해주시고, 직접적인 강한 빛은 피해 놓아주셔야 해요. 잎을 자르면 나오는 수액에 독성이 있으니 아이가 있는 집이나 반려동물이 있는 집에는 주의해서 키워야 해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,21~25℃,15℃ 이상,녹색잎에 흰색무늬 ,잎을 감상하는,,하트모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,주의 필요,소형,상,1만원~1만5천원,,,,,,,
싱고니움 핑크 쥬얼리 (스트로베리 아이스),그림,Syngonium podophyllum 'Strawberry Ice',"싱고니움 핑크 쥬얼리는 짙은 풀색을 띠는 잎에 체리핑크빛 무늬가 섞인 희귀한 품종의 싱고니움입니다. 동글동글 하트모양의 잎의 체리핑크색 무늬가 정말 상큼한 딸기 아이스크림을 연상시켜 품종 이름이 'Strawberry Ice'랍니다. 싱고니움 핑크 쥬얼리는 따뜻한 온도를 좋아하고 은은한 밝은 빛을 좋아해요. 주변 공기를 촉촉하게 해주시면 새 잎도 잘 내어주는 순둥이랍니다. 싱고니움은 잎을 자르면 나오는 수액에 독성이 있으니 아이가 있는 집이나 반려동물이 있는 집에는 주의해서 키워야 해요. 빛을 향해 잎이 자라는 특징이 있어서 잎이 햇빛을 골고루 받을 수 있게, 화분을 돌려가며 키워주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,15℃ 이상,짙은 풀색잎에 핑크무늬,잎을 감상하는,,둥근모양,하트모양,무늬가 있는,잎 끝이 뾰족한,,주의 필요,소형,중,2만원~3만원,,,,,,,
싱고니움 핑크스팟,그림,Syngonium podophyllum 'Pink Spot',"싱고니움 핑크스팟은 거위의 발을 닮은 하트모양 분홍색 잎에 진한 분홍색의 점박이 무늬가 있는 게 특징이에요. 진분홍색의 점은 마치 하트 잎에 모자이크를 한 것 같은 느낌을 준답니다. 싱고니움 핑크스팟은 따뜻한 온도를 좋아하고 은은한 간접광에서도 잘 자라 다른 무늬종에 비해 키우기 까다롭지 않은 품종이랍니다. 싱고니움은 잎을 자르면 나오는 수액에 독성이 있으니 아이가 있는 집이나 반려동물이 있는 집에는 주의해서 키워야 해요. 빛을 향해 잎이 자라는 특징이 있어서 잎이 햇빛을 골고루 받을 수 있게, 화분을 돌려가며 키워주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,15℃ 이상,분홍색 잎에 진한 분홍색의 점박이무늬,잎을 감상하는,,하트모양,무늬가 있는,잎 끝이 뾰족한,,,주의 필요,"소, 중형",중,"소: 1만원~1만5천원
중: 3만원~4만원",,,,,,,
귀면각 선인장 (연성각),그림,Cereus jamacaru,"귀면각은 위로 길쭉하게 자라는 생김새가 기둥을 닮아 기둥 선인장으로도 불리우는 선인장이에요. 번식이 잘 되는 편이라 아주 작은 크기의 미니 귀면각부터, 2m가 훌쩍 넘는 대형 귀면각까지 생김새와 크기가 다양하답니다. 단단한 몸통에는 수분을 많이 머금을 수 있어 물을 자주 주지 않아도 되고, 건조한 습도와 강한 햇빛이 있는 공간을 좋아해요. 워낙 순둥순둥해서 다른 종류의 선인장류들과 합식(한 화분에 함께 심음)해도 잘 자란답니다. 작은 크기의 미니 귀면각의 가시는 아주 얇지만, 크기가 큰 귀면각은 그 가시도 단단해 상처를 입을 수 있으니 주의해주세요.","평균 월 1회 이하
단단한 몸통이 말랑해지면 듬뿍 주세요",양지,40% 이하,18~28℃,10℃ 이상,진녹색의 기둥,다육/선인장,O,,,,,초보자,,"소,중,대형",하,"소: 5천원~1만원
중: 3만5천원~5만원
대: 10만원~12만원",,,,,,,
녹영 (콩란),그림,Senecio rowleyanus,녹영은 국화과의 식물로 콩란이라고도 불리는 식물이에요. 작고 예쁜 완두콩 모양의 몸통이 늘어져 자라나며 그 모습이 진주 목걸이 같아서 외국에서는 'String of Pearls'라는 이름으로 불리기도 한답니다. 동글동글 통통한 몸통을 지닌 녹영은 수분을 많이 머금고 있어 건조에 잘 견디고 빛이 적은 곳에서도 잘 자라 초보 식집사도 키우기 어렵지 않은 다육 식물이랍니다. 연두색의 녹영에 노란빛의 무늬가 있는 무늬종은 '녹영금'으로 불리우고 희소성이 높아 고가로 거래되어요. 늘어지며 자라는 성질이 있어 행잉 화분에 심어 공중에 걸어두어도 좋아요. 콩처럼 생겼지만 독성이 있어 반려동물이나 어린 아이가 섭취하지 않도록 주의해주세요.,"평균 월 1~2회
통통한 몸통이 살짝 쭈글해지면 듬뿍 주세요",반양지,40~70%,15~25℃,10℃ 이상,녹색,다육/선인장,X,둥근모양,잎이 두꺼운,,,초보자,주의 필요,소형,하,3천원~5천원,,,,,,,
안스리움 애로우,그림,Anthurium 'Arrow',"숟가락처럼 움푹 파인 짙은 녹색의 뾰족한 하트모양의 잎이 특이한 안스리움 애로우는 자라나면서 잎이 프릴모양으로 변한답니다. 신비롭고 우아한 아름다운 잎은 물론, 작고 앙증맞은 꽃도 감상할 수 있는 희귀한 식물이에요. 계절에 상관없이 온도만 맞으면 실내에서도 꽃을 피울 수 있고, 꽃이 한 번 피면 7주 정도는 지속되어 오래 감상할 수 있답니다! 또한 공기 중의 일산화탄소와 암모니아, 포름 알데히드를 제거하는 능력이 뛰어나 훌륭한 실내 공기정화 식물로 오랫동안 사랑받고 있답니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,18~25℃,15℃ 이상,짙은녹색,잎을 감상하는,,하트모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,,중형,중,3만원,,,,,,,
칼라디움 힐로뷰티 (뷰티히로),그림,Caladium praetermissum 'Hilo Beauty',"칼라디움 힐로뷰티는 하트모양의 보드라운 잎에 불규칙한 레몬빛 무늬가 아주 매력적인 식물이에요. '알로카시아 히로뷰티'로 알려져있기도 하지만, 2009년에 칼라디움의 한 종류로 다시 분류되었다고 해요. 밝은 무늬를 가진 얇은 잎의 특성상 적절한 환경 조건을 맞춰주지 않으면 잎에 금세 티가 나 키우기는 다소 어려운 편에 속하는 식물이랍니다. 힐로뷰티는 밝은 간접광과 따뜻한 온도, 그리고 촉촉한 습도를 좋아해요. 하지만 잎에 직접적으로 물이 닿으면 잎이 금세 녹아버릴 수 있어 물주기도 세심하게, 습도관리도 세심하게 해주어야 한답니다. 20℃ 이하의 온도에 장시간 노출되면 겨울잠에 빠져 잎이 없어질 수 있으니 따뜻한 곳에서 관리해주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,70% 이상,21~25℃,20℃ 이상,짙은녹색잎에 레몬빛 무늬,잎을 감상하는,,하트모양,무늬가 있는,잎 끝이 뾰족한,,,,소형,상,5천원~1만2천원,,,,,,,
